title,creator,description,publisher
Morphological characterisation of low and high oil sunflower(Hellanthus Annuus. L.)Varieties for use in marker assisted selection,"Chinyundo, Anthony","Morphological characterization was done on three sunflower varieties; CCA81, Milika and Record in order to see morphological differences for possible use in marker assisted selection. The parameters that were looked at are leaf size, leaf shape, colour of leaves, number of leaves per plant, hairiness at top of stem, days to 50 % flowering and maturity, seed colour, presence of seed stripes, colour of seed stripes, position of seed stripes, shape of seed, weight of 100 seeds, kernel and oil percentages. Significant differences were noted in leaf size, plant height, days to 50 % flowering and maturity. Record had the highest oil percentage of 42.97, Milika 38.77 and CCA81 42.17. In the other parameters no significant differences were established. Variation among these characteristics is important because it allows for development of varieties adapted to specific environments or agro-climatic regions",
Instruction based formative assessment in selected Colleges of Education in Zambia: It's use and factors affecting its use,"Mwale, Fred M.","The purpose of the study was to evaluate the use of Instruction Based Formative Assessment in   Colleges of Education in Zambia. The objectives of the study were to establish the use of Instruction Based Formative Assessment during lectures, to determine the predominant Instruction Based Formative Assessment strategies being used and to examine factors affecting the use of Instruction Based Formative Assessment in Colleges of Education in Zambia.\r\nThe target population was Lecturers and Coordinators of Continuous Professional Development (CPD) and Open Distance Learning (CODEL) in colleges of Education in Zambia. A total of 120 respondents participated in the study. There were 100 lecturers and 20 coordinators (10 CPD, 10 CODEL). Quantitative survey research design was used to capture national wide data covering 80% of the provinces of Zambia. Data was collected using   structured questionnaires. Data was analysed using Statistical Package for Social Science (SPSS) software that generated frequencies and percentages which were used in describing distributions of single and summated variables.\r\nThe study established that: (i) Instruction Based Formative Assessment was used by both coordinators and lecturers during lectures in Colleges of Education in Zambia. However the frequency of using this type of assessment, varied among coordinators and lecturers.                (ii) The predominant   Formative Assessment technique used in Colleges of Education was the technique that involved “providing feedback that moves learners forward in their learning” while the predominant Formative Assessment activity was that which involves “getting students to peer assess their work”. (iii) The predominant factors that affected the use of Instruction Based Formative Assessment in Colleges of Education in Zambia were “time limitation” and “large class size”. In view of the findings of the study, the following recommendations were made:     (i) Administrators of colleges of education should ensure that lecturers in Colleges are given in-service training in student centred instructional and assessment strategies, which include instruction based formative assessment. (ii) Administrators of colleges of education should establish CPD policy of training and orientation of new lecturers in Instructional and assessment strategies. (iii) Ministry of Education, Science, Vocational Training and Early Education in collaboration with Colleges of Education administrators, should ensure that, learner centred Instructional and assessment strategies, with emphasis on an orientation towards formative assessment, is included as a specific component of the teaching methods training curriculum and should be included in the school experience appraisal monitoring tool.",
"Use of scientific calculators in the teaching and learning of school mathematics: the case of one secondary school in Lusaka, Zambia.","Mashekwa, Mashekwa","Thesis~The use of scientific calculators in the teaching and learning process of secondary school Mathematics in the Zambian education system began in 2001. Since then, there has been lack of the Zambian context research evidence regarding the use of scientific calculators in the teaching and learning process. In this regard, the present study was intended to contribute to the knowledge about the use of scientific calculators by learners and teachers of Mathematics in secondary schools. A qualitative approach and specifically a case study design was used because it provided a systematic way of acquiring in-depth understanding of the phenomenon which was being investigated. The sample comprised of 8 teachers and 24 learners of secondary school Mathematics. The teachers were selected using a homogeneous purposive sampling technique while the learners were chosen through self-selection sampling technique. In respect of data collection, participant observation schedules, unstructured interviews, focus group discussions and a performance test were utilized. Data accessed through observations, interviews and group discussions were analyzed thematically while the data derived from the performance test was analyzed through exploration of learners’ answers to specific test questions. Analysis of the data showed that teachers of Mathematics supported the use of scientific calculators in the teaching and learning process of Mathematics. Teachers argued that calculators made learners to be over dependent on the gadget even in instances where simple computations are involved and had a salient effect of robbing learners of the necessary ability to think mathematically. Furthermore, learners demonstrated occasional lack of ability to effectively use scientific calculators, for example, in topics such as indices and fractions. This discovery suggested that learners are rarely taught the major functions of a scientific calculator or even how to operate calculators. Moreover, it was found out that teachers also lacked capacity to adequately and appropriately use the functions of scientific calculators. It is therefore recommended that schools adopt unique models of scientific calculators whose functions are easy to use by learners. In addition, subject association programs could provide opportunities for teachers to familiarize themselves with the use of scientific calculators in teaching of Mathematics.\r\nKeywords: Scientific calculator, teaching and learning Mathematics, performance, Zambia.",The University of Zambia
An assessment of teachers' competences in career guidance in selected Schools in Solwezi District Zambia,"Banda, Christopher","M.ED~The purpose of the study was to assess the competences of teachers in Career\r\nGuidance in selected secondary schools of Solwezi District in North Western\r\nprovince of Zambia. The objectives of the study were; to establish evidence that\r\nteachers were providing Career Guidance to learners, determine knowledge levels of\r\nteachers who provide Career Guidance, establish competences such as; counselling\r\nskills, ability to relate school subjects to careers and employment requirements and\r\nattitude of teachers who provide Career Guidance, assess what motivated teachers to\r\nprovide Career Guidance and to find out the extent to which learners were satisfied\r\nwith the Career Guidance Services they were receiving in schools. The study\r\nfollowed a survey design using a mixture of quantitative and qualitative methods.\r\nData was collected from a sample of 133 respondents and participants from seven\r\nSecondary schools disaggregated as; 70 subject teachers, 49 learners, 7 Head\r\nteachers and 7 Guidance teachers. Simple random sampling technique was used to\r\nselect subject teachers and learners while Purposive sampling technique was used to\r\nselect Head teachers and Guidance teachers. A Questionnaire, Focus Group\r\nDiscussion guide and Interview guide were used to collect data from subject\r\nteachers, leaners and Head teachers and Guidance teachers respectively. Quantitative\r\ndata were analysed using descriptive statistics using Microsoft Excel while\r\nqualitative data was analysed using thematic analysis. The research findings revealed\r\nthat: there was evidence that some teachers were providing Career Guidance to\r\nlearners which included Career guidance appearing on the school time table in some\r\nschools, reports on career talks, conferences, and visits to work places. Concerning\r\nknowledge levels subject teachers and some Guidance teachers had less knowledge\r\nin Career guidance as most of them were not trained in Guidance and Counselling.\r\nAs regards competence, most teachers did not have much knowledge and skills in\r\nCareer guidance as a result they were unable to link some school subjects to careers\r\nand employment. However, love to help learners motivated them to provide Career\r\nGuidance. Some teachers felt it was their duty to help learners to choose, plan and\r\nenter into their chosen careers. Concerning the extent of satisfaction, 53% of the\r\npupils were not satisfied by the career guidance services they received from their\r\nteachers because they were not able to easily make career choices, prepare for their\r\ncareer choices and enter them. The study therefore, recommended that Ministry of\r\nGeneral Education should scale up capacity building of teachers in Career Guidance.\r\nKey words: Assessment, Competences, Career Guidance, Subject teachers.",University of Zambia
The status of guidance and counselling provision in selected Basic Schools in Mumbwa District,"Makumba, Chivuna Edward","The purpose of the study was to investigate the status of guidance and counselling in seleted basic schools of Mumbwa District. The objectives of the study were to: establish the status of guidance and counseling in basic schools; determine the type of guidance and counseling services available in basic schools; establish the category of pupils who benefit most from guidance and counseling services in basic schools; and investigate challenges faced by the guidance and counseling teachers in the provision of guidance and counseling in basic schools. A survey approach was used to conduct this research. The sample size was 100 pupils and100 teachers in charge of guidance and counseling services in selected schools in Mumbwa District.The findings of this study were that: rural teachers provided guidance and counselling services; majority of pupils did not report their problems to guidance and counselling teachers but to their class teachers because they believed that the guidance and counseling teachers did not keep confidentiality; girls benefited more than boys from guidance and counseling services; grade 8 and 9 pupils benefited more than any other grade from guidance and counseling services; guidance and counseling teachers faced a lot of challenges in providing counselling services in basic schools which included non-availability of adequate guidance and counselling materials in schools for effective execution of duties, limited time allocated for counseling, lack of parental and community support, poor record keeping by the guidance and counseling teachers; lack of trained teachers in guidance and counseling, lack of office accommodation; lack of cooperation from pupils; influence of culture;  and the lack of both male and female counsellors in schools to attend to pupils needs as some cases are so confidential that they cannot be presented to the opposite sex. The study recommended that: Ministry of Education, Science, Vocational Training and Early Education should (i) employ trained full-time guidance and counselling teachers in schools (ii) provide appropriate and adequate materials for counseling purposes (iii) put in place a deliberate policy that would allow provision of guidance and counselling to lower grades in primary schools which is lacking at the moment.",
Library Studies Exams 2008,University of Zambia,Past Exams for the department of Library and information Studies Second Semester 2008,
To determine the short-term outcome of combined Ventriculoperitoneal Shunting and Myelomeningocele repair at the University Teaching Hospital,"Makawa, Daniel","Background and Objective: There is paucity of data on the outcome of combined VPS insertion and myelomeningocoele repair, and whether this will reduce morbidity and mortality. This study was designed to address this research question.\r\nMethod: Prospective descriptive interventional study was used and patients were recruited between January and October 2009, giving a total of 22. Information on sociodemographic, referral status, preoperative and postoperative outcome was documented and analysed.Result: Males constituted 54.7% and females 45.2% of cases. The youngest age at presentation was 1 week, the oldest was 32 weeks. The majority (90%) were referred from clinics and hospitals outside Lusaka, and most hail from poor socioeconomic backgrounds (64%). The malformation occurred in the lumbar and sacral regions in 77.4%. Most of the patients presented with normal and mild forms of neurological impairment. Ultrasound examination showed that 90% had mild findings and 9% had moderate form of hydrocephalus. All patients were shunted and had surgical closure of the sac. Postoperative complications were seen in patients who had oedamatous (59%) and infected wounds (9%). One patient had CSF leakage and later died of meningitis. Average hospital stay for all patients was 25days.Conclusion: Being the only referral hospital and the only centre with neurosurgical unit for all public institutions, children born with such defects outside Lusaka will continue being seen late.Although the sample size was small, it could show that even when they come late, a combined surgical approach can still be recommended in such patients. Most of the patients operated on recovered well postoperatively, but period of hospital stay was too",
"Effects of bacillus thuringiensis var.Israelensis and Bacillus Sphaericus larvicides,on mosquitoe Abundance, Diversity and Distribution in Selected Areas of lusaka urban district,Zambia","Kandyata, Alister","Effects of Bacillus thuringiensis var. israelensis (Bti) and Bacillus sphaericus (Bs) biolarvicides, on mosquito abundance, diversity and distribution in selected areas of Lusaka urban district, Zambia, were investigated. Four study areas including parts of the dam/stream systems of the Kalikiliki/Ibex hills area; Venta/Manzi valley area; Chelstone-Zambia airways marshy ponds area, and the Chamba valley brick factory area were selected, based on their being parts of areas where the Larval Source Management (LSM) programme using Bti and Bs was being implemented by the Ministry of Health in the district.\r\nThe study hypothesised that the anopheline mosquito species, Anopheles gambiae sensu stricto, was the dominant vector of malaria in Lusaka urban district; LSM using Bti and Bs reduced the abundance and diversity of anopheline mosquito larvae in their breeding sites; and that the use of Bti and Bs affected anopheline mosquito species distribution. Study Specific objectives were to: assess the ratio of mosquito colonised habitats to potentially available habitats in the study areas before and after larviciding; identify species of mosquito larvae and adults present in the study areas before and after larviciding; assess mosquito abundance, diversity, distribution patterns and species dominance in the study areas before and after larviciding; and to compare incidences of malaria prior to and after the larviciding programme in the study areas.\r\nBiolarvicides (Bti and Bs) were sprayed on freshwater bodies in the study areas in June and July, 2011 using Hudson X-pert pressure pumps and a fixed-wing, single-engine aircraft. Incidences of malaria prior to and after larviciding were determined by reviewing and analysing health facility records of positive malaria cases attended to by health facilities in the study areas.\r\nNone of the major malaria vectors reported for Zambia in the literature from the Anopheles gambiae sensu lato (s.l) or the An. funestus s.l were identified from the study areas. Instead three anopheline mosquito species; Anopheles coustani Laveran, An. squamosus Theobald and An. rufipes Gough, were found in the study areas. Anopheles coustani (13.5%) and An. squamosus (9.5%) were collected from all four study areas, while An. rufipes (1.1%) was only found in one study area. Prior to larviciding, culicine mosquito larvae were the most abundant (75.9%) in the study areas. No Culicidae larvae of any species were found in the freshwater bodies after larviciding. Possible reasons for the absence of known major malaria vectors from the study areas are suggested. The potential of biolarviciding as malaria vector control intervention for integration with Indoor Residual Spraying (IRS) and Insecticide Treated bed Nets (ITNs) are discussed. Incidences of malaria were higher prior to larviciding (2-17%). Positive malaria cases dropped drastically, after larviciding (2-4%), in all four study areas. However, though numerically very small, percent-wise, rises in malaria positive rates, were observed in Chainda area by second month post-larviciding but continued declining in the other areas. Possible reasons for the slight rise in the incidences of malaria were due to case importation. This study recommended the integration of Bti and Bs LSM into the Malaria Control Programme in Zambia.",
An assessment of the intergration of anti-gender based violence component in pre-marriage training in Lusaka district,"Swetu, Ruth","Thesis in adult education~The study sought to assess the integration of anti-Gender Based Violence (GBV) component in pre-marriage training in Lusaka District. The Pre-marriage training both from the Christian and traditional perspective is assumed to be one measure that can be used to reduce cases of Gender Based Violence. The study had the following objectives; to examine the existing contents of pre-marriage training on GBV offered by marriage counsellors; to determine the extent to which the methods used in the pre-marriage training enhanced the learning of anti- GBV behaviour among couples and to establish participants’ views on the effectiveness of pre-marriage training on preventing GBV.\r\nThe study employed a descriptive survey design, in which both qualitative and quantitative techniques were used to collect the necessary data. The population was theoretical. The study targeted couples, traditional and Christian counsellors. A sample of 60 participants was used, comprising 50 married participants, where at least one partner was trained, (32 women and 18men) 5 Traditional Counsellors and 5 Christian counsellors. Purposive sampling was used to select key informants among both Christian and traditional counsellors. Homogeneous and snowball was used to select the couples who had undergone pre-marriage training. Questionnaires and interview guides were used. Qualitative data which was collected from the informants was analysed using content or thematic analysis. This was done using emerging themes. Descriptive statistics such as frequencies, percentages and tables were generated and analysed using SPSS. Limitation of the study was that it was only conducted in Lusaka district when in actual sense pre-marriage training is conducted all over the country.\r\nThe findings of the study were that pre-marriage training does not address issues of GBV adequately because it was still prevalent among couples that underwent pre-marriage training The contents of pre-marriage training did not have GBV as an independent topic. The other finding was that the methods the facilitators and counsellors used were not adult education teaching and counselling methods. GBV was not the aim of the pre-marriage training but marriage sexual activities and how a woman should please man in marriage were paramount.\r\nThe study recommended that anti-GBV should be included in pre-marriage training as an active topic and facilitators and counsellors should undergo training in the use of adult teaching and counselling methods. It was further recommended that the awareness of GBV in both church and traditional settings should be given priority in pre-marriage training. The vulnerable must be empowered with necessary skills and competencies to be able to mitigate GBV in a marriage setup.",University of Zambia
Unusual Complication of Kirschner-Wire-Fixation of Carpo-Metacarpal  Joint of the Thumb,"Haque, Izhar Ui, Creator","The article describes a rare case of injury to the flexor tendons of index finger during Kirschner.-wire-fixation of the carpo-metacarpal joint of the thumb.~A  rare  case  of injury  to  the  flexor   tendons of index   finger   during   Kirschnei-wit-e-fixation   of  the carpometacarpal  joint   of  the   thumb,   is  described. The  case  is  being  reported  for  the  greater  awareness of such hazards.  The  need for the due care and exact technique   during  similar   procedures  in  the  hand  is emphasised.~Office of Global AIDS/US Department of State.",Medical Journal of Zambia
